Ticker,Quantity,LTP,Today Gain,Total Gain,Current Investment
AADHARHFC,113.0,417.45,-1406.8499999999988,-2653.240000000002,47171.85
AARTIIND,2300.0,407.25,18400.0,-225299.99999999988,936675.0
AEGISLOG,3.0,794.5,10.050000000000068,114.75,2383.5
ALIVUS,2.0,1100.6,-65.60000000000036,-382.62000000000035,2201.2
AMBER,65.0,6888.0,-23432.5,18552.08999999994,447720.0
ANANTRAJ,647.0,540.35,12745.900000000029,-131826.85999999993,349606.45
ASTERDM,515.0,433.0,-231.74999999999415,-30395.299999999992,222995.0
BAJFINANCE,20.0,8911.1,4629.000000000015,11246.000000000022,178222.0
BAJAJHLDNG,14.0,12273.55,3847.8999999999796,2852.7799999999806,171829.69999999998
BDL,105.0,1293.1,4840.499999999991,-1650.6000000000267,135775.5
BPCL,24.0,279.11,167.52000000000044,6698.64,6698.64
BHARTIHEXA,133.0,1337.1,1163.75,9679.739999999996,177834.3
BLUESTARCO,89.0,2152.7,-4979.550000000025,24066.489999999987,191590.3
BSE,121.0,4802.05,39197.949999999975,-78951.83999999994,581048.05
CAPLIPOINT,220.0,2043.0,18623.000000000022,-68197.27999999998,449460.0
CDSL,294.0,1219.5,14464.800000000014,-160425.30999999997,358533.0
COALINDIA,2000.0,405.85,18900.00000000009,350720.0,811700.0
COCHINSHIP,449.0,1438.25,-5500.25,-263372.39,645774.25
COFORGE,81.0,7746.8,13648.5,-75106.17999999998,627490.8
CONCORDBIO,111.0,1680.0,4073.7000000000053,-67710.0,186480.0
CRISIL,44.0,4233.8,-8047.599999999984,-69347.51999999999,186287.2
DEEPAKFERT,415.0,1143.05,12491.499999999962,38241.689999999886,474365.75
DIVISLAB,72.0,5797.35,-1782.0,-2534.739999999969,417409.2
DIXON,30.0,14025.4,3590.9999999999673,45577.90000000008,420762.0
DOMS,89.0,2950.0,5353.350000000008,17109.469999999965,262550.0
ECLERX,206.0,2749.3,26471.0,-124296.07999999997,566355.8
ERIS,175.0,1390.9,4191.250000000008,-22217.999999999967,243407.50000000003
FSL,1834.0,317.5,19990.59999999996,-107373.5699999999,582295.0
FORTIS,664.0,628.25,597.5999999999849,-4347.760000000008,417158.0
MEDANTA,137.0,1265.15,3500.350000000025,4962.140000000004,173325.55000000002
GODFRYPHLP,8.0,6271.3,1085.5999999999985,753.4400000000023,50170.4
GODREJIND,151.0,1206.45,1902.6000000000206,13907.10000000002,182173.95
FLUOROCHEM,46.0,3933.75,-3240.6999999999916,13544.699999999992,180952.5
ICICIGI,700.0,1725.2,315.00000000003183,459375.0,1207640.0
ISEC,57.0,896.2,852.1500000000026,672.6000000000039,51083.4
INDIACEM,774.0,279.6,3676.5,-59213.79,216410.40000000002
INDHOTEL,536.0,824.7,4609.600000000012,20689.72000000006,442039.2
IPCALAB,161.0,1418.8,2672.5999999999854,-25388.090000000007,228426.8
JMFINANCIL,1882.0,97.84,12025.980000000001,-81105.18999999999,184134.88
JUBLINGREA,659.0,692.95,-7743.25,-23189.850000000013,456654.05000000005
JUBLPHARMA,501.0,903.45,2254.5,-136047.52,452628.45
KALYANKJIL,345.0,471.2,1362.7499999999961,-102592.65000000002,162564.0
KAYNES,77.0,4848.3,15815.800000000043,-98779.45999999996,373319.10000000003
KFINTECH,420.0,1095.0,18774.00000000002,-21535.920000000027,459900.0
LAURUSLABS,2172.0,613.5,19656.5999999999,646979.7000000001,1332522.0
LLOYDSME,561.0,1312.15,30995.25,49541.4200000001,736116.15
MAHSCOOTER,100.0,10080.0,3304.9999999999272,593000.0,1008000.0
MAXHEALTH,170.0,1167.0,5295.5000000000155,30064.500000000004,198390.0
MAZDOCK,234.0,2587.95,-10565.10000000002,86093.27999999991,605580.2999999999
MOTILALOFS,555.0,637.65,776.9999999999874,-149200.41000000006,353895.75
MCX,111.0,5464.1,8880.0,-101713.25999999991,606515.1000000001
MUTHOOTFIN,78.0,2360.0,-1150.5,14953.380000000003,184080.0
NAVINFLUOR,42.0,4246.7,3286.5,10853.219999999994,178361.4
NESCO,900.0,931.95,31455.00000000004,280710.00000000006,838755.0
NEWGEN,343.0,1034.15,24713.150000000023,-112232.81,354713.45
PAYTM,808.0,753.0,15028.800000000017,-143.08999999994467,608424.0
POLICYBZR,123.0,1603.0,5387.399999999994,-65122.34999999998,197169.0
PCBL,554.0,426.5,17921.900000000012,-1456.2000000000166,236281.0
PERSISTENT,71.0,5275.55,5786.5,-59212.49999999998,374564.05
PEL,3755.0,994.65,102511.49999999983,1156911.4,3734910.75
PPLPHARMA,2143.0,226.19,10500.700000000012,-34352.33000000003,484725.17
PFC,259.0,407.8,1411.549999999997,8927.730000000007,105620.2
RADICO,198.0,2307.7,4207.5,34224.21999999995,456924.6
REDINGTON,665.0,250.18,15115.450000000012,-1742.300000000003,166369.7
SANGHVIMOV,600.0,265.0,10841.999999999996,-254600.00000000003,159000.0
SBICARD,202.0,859.5,535.2999999999954,5260.079999999993,173619.0
SHREECEM,6.0,28987.4,2151.3000000000175,3723.6600000000035,173924.40000000002
SHYAMMETL,59.0,869.3,1000.049999999996,807.7099999999965,51288.7
STYRENIX,1100.0,2713.0,-27719.9999999998,1728201.5,2984300.0
SUMICHEM,2.0,535.05,21.299999999999955,-89.36000000000013,1070.1
SUNPHARMA,500.0,1790.0,19875.0,320140.0,895000.0
SUVENPHAR,346.0,1211.25,5086.200000000015,-4699.530000000014,419092.5
TATAPOWER,2000.0,380.0,19299.999999999956,353975.0,760000.0
UPL,260.0,658.85,3120.0,3081.000000000006,171301.0
VIJAYA,217.0,1024.0,-6412.34999999999,-31009.30000000002,222208.0
WELCORP,338.0,879.4,2467.3999999999846,32235.05999999996,297237.2
WIPRO,565.0,264.3,-2090.4999999999936,-18757.999999999993,149329.5
WONDERLA,1500.0,668.0,21375.0,378665.0,1002000.0
ZOMATO,905.0,227.5,2742.150000000001,-46008.00000000001,205887.5
